policy,n_seeds,S_T_mean,S_T_std,final_competence_mean,final_competence_std,minC_mean,minC_std,overload_time_mean,overload_time_std,avg_choice_mean,avg_choice_std,avg_answered_mean,avg_answered_std,W_mean,W_std,U_mean,U_std,avg_quality_mean,avg_quality_std,avg_useful_data_mean,avg_useful_data_std,avg_backlog_mean,avg_backlog_std,avg_resolved_fraction_mean,avg_resolved_fraction_std,avg_answer_rate_mean,avg_answer_rate_std,avg_useful_data_path_mean,avg_useful_data_path_std
capacity_aware,6,22.477454187226453,0.0,0.9326124167267097,1.1102230246251565e-16,0.5380193743671794,0.0,34.0,0.0,0.24669976928922052,2.7755575615628914e-17,0.14781385573966768,0.0,23.107938879945507,0.0,0.31503180500192757,5.551115123125783e-17,1.0,0.0,0.5619363546806612,1.1102230246251565e-16,0.21381396111229226,2.7755575615628914e-17,0.6811349753704984,1.1102230246251565e-16,0.6257794323383726,1.1102230246251565e-16,0.5619363546806612,1.1102230246251565e-16
targeted_match_rate,6,29.886757194833134,0.013392575840198899,0.9723024016638092,4.450105953901697e-05,0.5096162051099401,0.00017836201857866993,39.0,0.0,0.27093743164054507,0.000101679340854481,0.1476609002440971,5.5415240765695714e-05,23.7941642634846,0.0011898252565269343,0.2884257929689707,0.00022970879731211633,1.0,0.0,0.7471689298708285,0.0003348143960049345,0.2811825329329631,0.0003496154725639199,0.6273930734095324,0.00022857778385279085,0.545,0.0,0.7471689298708285,0.0003348143960049345
uniform,6,19.602370135775335,0.0,0.9048484519971066,0.0,0.47618298553141253,0.0,40.0,0.0,0.24635678571386885,2.7755575615628914e-17,0.14781407142832134,2.7755575615628914e-17,23.25360228111703,0.0,0.28509779477941355,0.0,1.0,0.0,0.49005925339438333,5.551115123125783e-17,0.32271839042007816,0.0,0.5940112162356161,0.0,0.6,0.0,0.49005925339438333,5.551115123125783e-17
