rho,policy,n_seeds,S_T_mean,S_T_std,final_competence_mean,final_competence_std,minC_mean,minC_std,overload_time_mean,overload_time_std,avg_choice_mean,avg_choice_std,avg_answered_mean,avg_answered_std,W_mean,W_std,U_mean,U_std,avg_quality_mean,avg_quality_std,avg_useful_data_mean,avg_useful_data_std,avg_backlog_mean,avg_backlog_std,avg_resolved_fraction_mean,avg_resolved_fraction_std,avg_answer_rate_mean,avg_answer_rate_std,avg_useful_data_path_mean,avg_useful_data_path_std,delta_S_T_mean,delta_S_T_std
0.0,targeted_match_rate,6,25.542763294535792,0.0,0.9533522971599687,1.1102230246251565e-16,0.5188855110059133,0.0,31.0,0.0,0.29964378955056853,5.551115123125783e-17,0.1797862737303411,0.0,23.954118561396896,0.0,0.42532781816341064,5.551115123125783e-17,1.0,0.0,0.6385690823633948,0.0,0.22705580488283014,2.7755575615628914e-17,0.6385690823633948,0.0,0.6,0.0,0.6385690823633948,0.0,,
0.0,uniform,6,25.542763294535792,0.0,0.9533522971599687,1.1102230246251565e-16,0.5188855110059133,0.0,31.0,0.0,0.29964378955056853,5.551115123125783e-17,0.1797862737303411,0.0,23.954118561396896,0.0,0.42532781816341064,5.551115123125783e-17,1.0,0.0,0.6385690823633948,0.0,0.22705580488283014,2.7755575615628914e-17,0.6385690823633948,0.0,0.6,0.0,0.6385690823633948,0.0,,
0.5,targeted_match_rate,6,29.00345841688637,0.0052293404880311735,0.9692053656364864,1.9321267320828603e-05,0.5334846018356297,5.215281511339095e-05,28.0,0.0,0.3281699462075231,5.254559442779683e-05,0.19690196772451388,3.152735665667901e-05,24.353193135691086,0.0006326592068964438,0.5140470765233205,0.00017335789886998372,1.0,0.0,0.7250864604221593,0.0001307335122007523,0.1934632100297918,9.239401958684908e-05,0.6483274642516528,4.6497444305231325e-05,0.6,0.0,0.7250864604221593,0.0001307335122007523,,
0.5,uniform,6,21.773798676856625,0.0,0.9266751596359896,1.1102230246251565e-16,0.49538174293425413,0.0,37.0,0.0,0.2657083176285187,5.551115123125783e-17,0.1594249905771112,0.0,23.499818877923733,3.552713678800501e-15,0.3324270970844721,0.0,1.0,0.0,0.5443449669214157,0.0,0.2804192802860415,0.0,0.6162395851940555,0.0,0.6,0.0,0.5443449669214157,0.0,,
1.0,targeted_match_rate,6,31.56287658942027,0.01283439061994873,0.9773488352607426,3.487360089619993e-05,0.5412473294216185,0.00010760369984519074,25.0,0.0,0.3469721296267501,0.00011303985059861478,0.20818327777605014,6.782391035916313e-05,24.623421520090456,0.0013603716402486958,0.5783205723855919,0.0004020836427123244,1.0,0.0,0.7890719147355066,0.0003208597654987958,0.17471279032217257,0.00016766695685729963,0.6520464899662118,7.599432276036472e-05,0.6,0.0,0.7890719147355066,0.0003208597654987958,,
1.0,uniform,6,19.602370135775335,0.0,0.9048484519971066,0.0,0.47618298553141253,0.0,40.0,0.0,0.24635678571386885,2.7755575615628914e-17,0.14781407142832134,2.7755575615628914e-17,23.25360228111703,0.0,0.28509779477941355,0.0,1.0,0.0,0.49005925339438333,5.551115123125783e-17,0.32271839042007816,0.0,0.5940112162356161,0.0,0.6,0.0,0.49005925339438333,5.551115123125783e-17,,
2.0,targeted_match_rate,6,34.98612930762776,0.030616087056496353,0.9849793411940214,5.5139950781421484e-05,0.5493535090413098,0.00021152304026484777,23.0,0.0,0.3690925910723722,0.00024363196468304494,0.22145555464342329,0.00014617917880983228,24.94766870559812,0.002940813629671197,0.6603794993026085,0.0009442756020559186,1.0,0.0,0.8746532326906938,0.0007654021764123665,0.15504298710092593,0.00032670977076382007,0.654510055675836,0.0001325597905236363,0.6,0.0,0.8746532326906938,0.0007654021764123665,,
2.0,uniform,6,17.445558737322347,0.0,0.8767409509510086,0.0,0.44541134015444506,0.0,40.0,0.0,0.22564375459698185,2.7755575615628914e-17,0.13538625275818908,2.7755575615628914e-17,23.003746970414515,3.552713678800501e-15,0.23864248151359238,2.7755575615628914e-17,1.0,0.0,0.43613896843305877,0.0,0.36967103986792865,0.0,0.5688769153474679,0.0,0.6,0.0,0.43613896843305877,0.0,,
0.0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0.5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229659740029743,0.0052293404880311735
1.0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.960506453644934,0.01283439061994873
2.0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.540570570305412,0.030616087056496356
