c0,xi,minC,collapse_flag,collapse_epsilon
0.25,0.02,0.25,0,0.05
0.30714285714285716,0.02,0.30714285714285716,0,0.05
0.3642857142857143,0.02,0.3642857142857143,0,0.05
0.42142857142857143,0.02,0.42142857142857143,0,0.05
0.4785714285714286,0.02,0.4785714285714286,0,0.05
0.5357142857142858,0.02,0.5357142857142858,0,0.05
0.5928571428571429,0.02,0.5928571428571429,0,0.05
0.65,0.02,0.65,0,0.05
0.7071428571428572,0.02,0.7071428571428572,0,0.05
0.7642857142857143,0.02,0.7642857142857143,0,0.05
0.8214285714285715,0.02,0.8214285714285715,0,0.05
0.8785714285714287,0.02,0.8785714285714287,0,0.05
0.9357142857142857,0.02,0.9357142857142857,0,0.05
0.9928571428571429,0.02,0.9928571428571429,0,0.05
1.05,0.02,1.05,0,0.05
0.25,0.04714285714285714,0.25,0,0.05
0.30714285714285716,0.04714285714285714,0.30714285714285716,0,0.05
0.3642857142857143,0.04714285714285714,0.3642857142857143,0,0.05
0.42142857142857143,0.04714285714285714,0.42142857142857143,0,0.05
0.4785714285714286,0.04714285714285714,0.4785714285714286,0,0.05
0.5357142857142858,0.04714285714285714,0.5357142857142858,0,0.05
0.5928571428571429,0.04714285714285714,0.5928571428571429,0,0.05
0.65,0.04714285714285714,0.65,0,0.05
0.7071428571428572,0.04714285714285714,0.7071428571428572,0,0.05
0.7642857142857143,0.04714285714285714,0.7642857142857143,0,0.05
0.8214285714285715,0.04714285714285714,0.8214285714285715,0,0.05
0.8785714285714287,0.04714285714285714,0.8785714285714287,0,0.05
0.9357142857142857,0.04714285714285714,0.9357142857142857,0,0.05
0.9928571428571429,0.04714285714285714,0.9928571428571429,0,0.05
1.05,0.04714285714285714,1.05,0,0.05
0.25,0.07428571428571429,0.0,1,0.05
0.30714285714285716,0.07428571428571429,0.0,1,0.05
0.3642857142857143,0.07428571428571429,0.00593450839046257,1,0.05
0.42142857142857143,0.07428571428571429,0.3415377716149791,0,0.05
0.4785714285714286,0.07428571428571429,0.460615464974654,0,0.05
0.5357142857142858,0.07428571428571429,0.5356936428980746,0,0.05
0.5928571428571429,0.07428571428571429,0.5928571428571429,0,0.05
0.65,0.07428571428571429,0.65,0,0.05
0.7071428571428572,0.07428571428571429,0.7071428571428572,0,0.05
0.7642857142857143,0.07428571428571429,0.7642857142857143,0,0.05
0.8214285714285715,0.07428571428571429,0.8214285714285715,0,0.05
0.8785714285714287,0.07428571428571429,0.8785714285714287,0,0.05
0.9357142857142857,0.07428571428571429,0.9357142857142857,0,0.05
0.9928571428571429,0.07428571428571429,0.9928571428571429,0,0.05
