regime,policy,n_seeds,S_T_mean,S_T_std,minC_mean,minC_std,overload_time_mean,overload_time_std,avg_choice_mean,avg_choice_std,avg_answered_mean,avg_answered_std,W_mean,W_std,U_mean,U_std,avg_forum_novelty_mean,avg_forum_novelty_std,avg_answer_rate_mean,avg_answer_rate_std,avg_novelty_factor_mean,avg_novelty_factor_std
collapse,targeted_match_rate,30,9.54485894516772,0.00578979007883096,0.0,0.0,40.0,0.0,0.10905410604980101,0.000108358011249962,0.06543246362988062,6.501480674997897e-05,21.959743800629894,0.0005838305348882348,0.05420206584220326,0.00010869215469699037,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.2099842593868513,0.0008140425610135445
collapse,uniform,30,6.676278429607091,1.7763568394002505e-15,0.0,0.0,40.0,0.0,0.06649559885902352,1.3877787807814457e-17,0.039897359315414126,6.938893903907228e-18,21.773911858064814,3.552713678800501e-15,0.01989218929348372,3.469446951953614e-18,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.8249999999999997,2.220446049250313e-16
mid,targeted_match_rate,30,31.558878171161982,0.021996007861367073,0.5412307216267316,0.00011781572786239253,25.0,0.0,0.3469421703444964,0.00020446164683028627,0.20816530220669788,0.0001226769880981706,24.62294176559986,0.002764483179507158,0.5782247912869293,0.0007291892452967592,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.2099842593868513,0.0008140425610135445
mid,uniform,30,19.602370135775338,3.552713678800501e-15,0.47618298553141253,0.0,40.0,0.0,0.24635678571386876,5.551115123125783e-17,0.14781407142832131,0.0,23.25360228111704,1.0658141036401503e-14,0.28509779477941355,0.0,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.8249999999999997,2.220446049250313e-16
stable,targeted_match_rate,30,36.28566898671727,0.021156301691789135,0.8500000000000002,2.220446049250313e-16,5.0,0.0,0.4026172500505426,0.00015841633881468565,0.24157035003032556,9.504980328880569e-05,25.400729830153193,0.002238894311585121,0.804367015856199,0.0007139816825410768,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.2099842593868513,0.0008140425610135445
stable,uniform,30,26.15407973970158,7.105427357601002e-15,0.8500000000000002,2.220446049250313e-16,6.0,0.0,0.3295277748068344,0.0,0.19771666488410056,5.551115123125783e-17,24.332357095170778,0.0,0.5226430583285923,0.0,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.8249999999999997,2.220446049250313e-16
