overflow_discount,xi,S_T,minC,overload_time,W,U
0.05,0.02,24.842800700840538,0.6,13.0,24.011889219388713,0.4349043164454942
0.08214285714285716,0.02,24.89938696791856,0.6,13.0,24.025480723962005,0.4385109185842646
0.1142857142857143,0.02,24.9556615740534,0.6,13.0,24.0390221704531,0.4421155108871516
0.14642857142857146,0.02,25.011621173036403,0.6,13.0,24.05251192248467,0.4457175803284654
0.1785714285714286,0.02,25.067262536038392,0.6,13.0,24.065948395402568,0.44931662271029016
0.21071428571428574,0.02,25.12258255233751,0.6,13.0,24.079330056677897,0.4529121430027848
0.24285714285714288,0.02,25.177578229856675,0.6,13.0,24.092655426196423,0.45650365565512524
0.275,0.02,25.232246695516956,0.6,13.0,24.105923076439765,0.4600906848774631
0.30714285714285716,0.02,25.286585195412545,0.6,13.0,24.119131632562812,0.46367276489435316
0.3392857142857143,0.02,25.34059109481371,0.6,13.0,24.132279772372087,0.4672494401702181
0.37142857142857144,0.02,25.394261878004425,0.6,13.0,24.145366226209923,0.47082026560748663
0.4035714285714286,0.02,25.447291009473975,0.6,12.0,24.158324716749853,0.47436927169504256
0.4357142857142858,0.02,25.499734339736307,0.6,12.0,24.171166936748804,0.4778990381227927
0.4678571428571429,0.02,25.551901551550515,0.6,12.0,24.18395854825757,0.48142509004970485
0.5,0.02,25.603790470855092,0.6,12.0,24.196698372764384,0.48494701539376317
0.05,0.04714285714285714,24.374759350435102,0.6,16.0,23.90366978291063,0.4083449958859127
0.08214285714285716,0.04714285714285714,24.452262084964627,0.6,16.0,23.921953665563155,0.41300743368619003
0.1142857142857143,0.04714285714285714,24.529106479162138,0.6,16.0,23.94012117592117,0.417659885443845
0.14642857142857146,0.04714285714285714,24.604079542779154,0.6,15.0,23.957937374655856,0.422251305257033
0.1785714285714286,0.04714285714285714,24.678205950270897,0.6,15.0,23.97559940495175,0.42682368298847595
0.21071428571428574,0.04714285714285714,24.751774929701092,0.6,15.0,23.993161156934192,0.4313882915383217
0.24285714285714288,0.04714285714285714,24.824781344829002,0.6,15.0,24.010619831191676,0.43594419102379645
0.275,0.04714285714285714,24.897220360907397,0.6,15.0,24.02797278149382,0.4404904717425078
0.30714285714285716,0.04714285714285714,24.969087442231363,0.6,15.0,24.045217512790742,0.44502625447761934
0.3392857142857143,0.04714285714285714,25.040378349175633,0.6,15.0,24.062351678905408,0.44955069069904907
0.37142857142857144,0.04714285714285714,25.111089134757798,0.6,15.0,24.07937307994955,0.4540629626668238
0.4035714285714286,0.04714285714285714,25.18121614076459,0.6,15.0,24.09627965949266,0.45856228344281835
0.4357142857142858,0.04714285714285714,25.25075599347756,0.6,15.0,24.113069501512584,0.46304789681715186
0.4678571428571429,0.04714285714285714,25.31970559903398,0.6,15.0,24.129740827155164,0.4675190771554931
0.5,0.04714285714285714,25.388062138457922,0.6,15.0,24.1462919913289,0.47197512917347373
0.05,0.07428571428571429,23.334856392558457,0.6,21.0,23.681991738926484,0.3582362587291465
0.08214285714285716,0.07428571428571429,23.464633923225946,0.6,21.0,23.71105559785154,0.36507495024824566
0.1142857142857143,0.07428571428571429,23.59253275538057,0.6,21.0,23.739769778169084,0.37187602464551184
