policy,n_seeds,S_T_mean,S_T_std,minC_mean,minC_std,overload_time_mean,overload_time_std,avg_choice_mean,avg_choice_std,avg_answered_mean,avg_answered_std,W_mean,W_std,U_mean,U_std,avg_forum_novelty_mean,avg_forum_novelty_std,avg_answer_rate_mean,avg_answer_rate_std,avg_novelty_factor_mean,avg_novelty_factor_std
capacity_aware,30,22.517182682528627,7.105427357601002e-15,0.5543140820006208,0.0,25.0,0.0,0.3012870109337411,5.551115123125783e-17,0.19356915255553647,5.551115123125783e-17,23.573851419804562,0.0,0.510413219453861,0.0,0.5,0.0,0.6775574864230808,1.1102230246251565e-16,0.8249999999999997,2.220446049250313e-16
novelty_capacity,30,33.2323706664251,0.019900185666567174,0.5725236008755487,5.771702137601541e-05,18.0,0.0,0.38765120920257984,0.00014299745577938427,0.2416348174432287,7.998991338662185e-05,24.89396022853839,0.002200620966487977,0.8079501672466374,0.0005861574905243835,0.8253314028053672,0.0011032131449579554,0.65076375,4.9513255800836085e-05,1.2277319819637567,0.0007722492014705506
targeted_match_rate,30,31.558878171161982,0.021996007861367073,0.5412307216267316,0.00011781572786239253,25.0,0.0,0.3469421703444964,0.00020446164683028627,0.20816530220669788,0.0001226769880981706,24.62294176559986,0.002764483179507158,0.5782247912869293,0.0007291892452967592,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.2099842593868513,0.0008140425610135445
uniform,30,19.602370135775338,3.552713678800501e-15,0.47618298553141253,0.0,40.0,0.0,0.24635678571386876,5.551115123125783e-17,0.14781407142832131,0.0,23.25360228111704,1.0658141036401503e-14,0.28509779477941355,0.0,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.8249999999999997,2.220446049250313e-16
