rho,policy,n_seeds,S_T_mean,S_T_std,minC_mean,minC_std,overload_time_mean,overload_time_std,avg_choice_mean,avg_choice_std,avg_answered_mean,avg_answered_std,W_mean,W_std,U_mean,U_std,avg_forum_novelty_mean,avg_forum_novelty_std,avg_answer_rate_mean,avg_answer_rate_std,avg_novelty_factor_mean,avg_novelty_factor_std,delta_S_T_mean,delta_S_T_std,delta_overload_time_mean,delta_overload_time_std
0.0,targeted_match_rate,30,25.542763294535796,3.552713678800501e-15,0.5188855110059135,2.220446049250313e-16,31.0,0.0,0.2996437895505685,0.0,0.17978627373034117,8.326672684688674e-17,23.95411856139689,7.105427357601002e-15,0.42532781816341064,5.551115123125783e-17,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.0,0.0,,,,
0.0,uniform,30,25.542763294535796,3.552713678800501e-15,0.5188855110059135,2.220446049250313e-16,31.0,0.0,0.2996437895505685,0.0,0.17978627373034117,8.326672684688674e-17,23.95411856139689,7.105427357601002e-15,0.42532781816341064,5.551115123125783e-17,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,1.0,0.0,,,,
0.5,targeted_match_rate,30,29.001674404807027,0.010106360006466426,0.533476953743931,5.962162583956839e-05,28.0,0.0,0.3281545536868899,0.00010018188955311209,0.19689273221213385,6.010913373186772e-05,24.352947529820458,0.0013381789557709292,0.5139999529368161,0.00033077224577248777,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.118325027397172,0.0003523037812348916,,,,
0.5,uniform,30,21.773798676856618,7.105427357601002e-15,0.49538174293425424,1.1102230246251565e-16,37.0,0.0,0.2657083176285188,5.551115123125783e-17,0.1594249905771112,0.0,23.499818877923744,7.105427357601002e-15,0.33242709708447227,1.6653345369377348e-16,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.8833333333333331,1.1102230246251565e-16,,,,
1.0,targeted_match_rate,30,31.558878171161982,0.021996007861367073,0.5412307216267316,0.00011781572786239253,25.0,0.0,0.3469421703444964,0.00020446164683028627,0.20816530220669788,0.0001226769880981706,24.62294176559986,0.002764483179507158,0.5782247912869293,0.0007291892452967592,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.2099842593868513,0.0008140425610135445,,,,
1.0,uniform,30,19.602370135775338,3.552713678800501e-15,0.47618298553141253,0.0,40.0,0.0,0.24635678571386876,5.551115123125783e-17,0.14781407142832131,0.0,23.25360228111704,1.0658141036401503e-14,0.28509779477941355,0.0,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.8249999999999997,2.220446049250313e-16,,,,
2.0,targeted_match_rate,30,34.97752627066825,0.049156921907160624,0.5493120440661791,0.00023024203452702292,23.0,0.0,0.36903793103377575,0.00040585248589142394,0.22142275862026542,0.00024351149153484272,24.94681198508073,0.005581091291683643,0.660197726771798,0.0015818960259937167,0.7999775134097878,0.0011629179443049989,0.6000000000000001,1.1102230246251565e-16,1.336009050914763,0.0018598129386994797,,,,
2.0,uniform,30,17.44555873732235,3.552713678800501e-15,0.44541134015444506,0.0,40.0,0.0,0.22564375459698194,5.551115123125783e-17,0.1353862527581891,0.0,23.00374697041453,1.0658141036401503e-14,0.23864248151359238,2.7755575615628914e-17,0.5,0.0,0.6000000000000001,1.1102230246251565e-16,0.7666666666666664,2.220446049250313e-16,,,,
0.0,,30,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
0.5,,30,,,,,,,,,,,,,,,,,,,,,7.227875727950401,0.010106360006466426,-9.0,0.0
1.0,,30,,,,,,,,,,,,,,,,,,,,,11.95650803538665,0.021996007861367073,-15.0,0.0
2.0,,30,,,,,,,,,,,,,,,,,,,,,17.531967533345906,0.04915692190716063,-17.0,0.0
