beta,w_s,S_T,minC,overload_time,W,U
2.0,0.4,22.50814844173512,0.6,9.0,19.410494133778215,1.3128911645914567
2.7142857142857144,0.4,22.294644790024222,0.6,10.0,19.55148175442755,1.2548253688556772
3.428571428571429,0.4,22.063438921164114,0.6,11.0,19.67584446634909,1.211057763414496
4.142857142857142,0.4,21.820769470795653,0.6,12.0,19.784041470381855,1.1790400866593143
4.857142857142858,0.4,21.571766144354463,0.5995200583018905,14.0,19.87697571201975,1.1563146347570588
5.571428571428571,0.4,21.321295051283794,0.5967421614369378,15.0,19.956122466277726,1.1407729135100224
6.285714285714286,0.4,21.07384411176414,0.5919899811973827,15.0,20.023330379000456,1.1307374476552317
7.0,0.4,20.831500129031767,0.5859833491086804,16.0,20.079984305499845,1.1248121880531547
7.714285714285714,0.4,20.59752210306425,0.5792276283178375,17.0,20.128049775881344,1.122062105402824
8.428571428571429,0.4,20.37438045183219,0.5719913040251081,18.0,20.16930827542946,1.1218080876149799
9.142857142857142,0.4,20.16328581506499,0.5645045626580282,18.0,20.205097776526365,1.123508027229593
9.857142857142858,0.4,19.958630419958823,0.5569799959516664,19.0,20.23447010662057,1.1263001197243723
10.571428571428571,0.4,19.76931154738615,0.549627903636376,20.0,20.26129999483299,1.1305379737685937
11.285714285714286,0.4,19.58639064588852,0.5420237109332484,20.0,20.2832971764443,1.1352941942925057
12.0,0.4,19.41874770484599,0.5347860695798227,20.0,20.304226193833095,1.1411160690807336
2.0,0.42142857142857143,22.658241196017006,0.6,9.0,19.96995701908728,1.2562105677153734
2.7142857142857144,0.42142857142857143,22.484251520651064,0.6,11.0,20.09454915118755,1.1827117224700583
3.428571428571429,0.42142857142857143,22.279331272913492,0.6,12.0,20.199843178548477,1.1251247750746791
4.142857142857142,0.42142857142857143,22.05835712228566,0.6,13.0,20.288908483454613,1.0807798498499017
4.857142857142858,0.42142857142857143,21.82615775723669,0.5988578572199584,15.0,20.362641474515158,1.0468218298358836
5.571428571428571,0.42142857142857143,21.585251092472117,0.5946472456619747,16.0,20.42186207582762,1.020698925157768
6.285714285714286,0.42142857142857143,21.344040694895718,0.5887737487882074,17.0,20.46954474405813,1.0007077314035246
7.0,0.42142857142857143,21.105686809726336,0.5813676683594444,18.0,20.5074081167753,0.9853705264636999
7.714285714285714,0.42142857142857143,20.872796290685162,0.5732439602110722,19.0,20.537133806193836,0.9735926561312888
8.428571428571429,0.42142857142857143,20.647574231611777,0.5646309691922511,20.0,20.560314016543565,0.9645842801180927
9.142857142857142,0.42142857142857143,20.431053564010117,0.555715616205739,20.0,20.578169042215958,0.9577343970273955
9.857142857142858,0.42142857142857143,20.220595741944948,0.546662888444737,21.0,20.590865779379882,0.9524120494021613
10.571428571428571,0.42142857142857143,20.021375791562182,0.5376299004883807,22.0,20.600654369785115,0.9485683959017122
11.285714285714286,0.42142857142857143,19.83479211394635,0.5287758524988504,22.0,20.60857053967392,0.9460156108096103
12.0,0.42142857142857143,19.65230653568499,0.5202688110413614,23.0,20.6129409742179,0.9440833028244133
2.0,0.4428571428571429,22.80875133374019,0.6,9.0,20.538947566666188,1.2010077898585458
2.7142857142857144,0.4428571428571429,22.665283620443077,0.6,11.0,20.647091641808203,1.1127928533040854
3.428571428571429,0.4428571428571429,22.4891619960357,0.6,13.0,20.736351276903576,1.0427221124913122
4.142857142857142,0.4428571428571429,22.28502943355037,0.6,14.0,20.806899339605813,0.9871318947426158
4.857142857142858,0.4428571428571429,22.063637138223754,0.5975097318149762,16.0,20.861392711999677,0.9429538810777716
5.571428571428571,0.4428571428571429,21.828148396481513,0.5920946919957462,17.0,20.901004233897513,0.9073501901946539
6.285714285714286,0.4428571428571429,21.588565141129617,0.584808553726794,18.0,20.929054070026375,0.8784273081285392
7.0,0.4428571428571429,21.346491027141163,0.5758230069873417,20.0,20.946928362044833,0.8544820989427984
7.714285714285714,0.4428571428571429,21.10341814568987,0.5661497519440502,21.0,20.956057210266913,0.8342584184157795
8.428571428571429,0.4428571428571429,20.86470332455932,0.5557860278790988,22.0,20.958768673464,0.8170292592504922
9.142857142857142,0.4428571428571429,20.63171704094631,0.5449858677023312,23.0,20.956357751543365,0.8021525806416143
9.857142857142858,0.4428571428571429,20.405604928755725,0.5340642225373021,24.0,20.949964022498783,0.7891647150516885
10.571428571428571,0.4428571428571429,20.187379913244964,0.5231273025562148,25.0,20.94057938097906,0.7777303731480454
11.285714285714286,0.4428571428571429,19.977217788931345,0.51227939298948,25.0,20.928902268735452,0.7675755891178107
12.0,0.4428571428571429,19.772071231895783,0.5016280470348342,26.0,20.914930158523326,0.7583824910066409
2.0,0.4642857142857143,22.952311801270657,0.6,10.0,21.115493900541157,1.1470677740075232
2.7142857142857144,0.4642857142857143,22.84359989073186,0.6,12.0,21.211245345574543,1.045408930304783
3.428571428571429,0.4642857142857143,22.68999316303394,0.6,13.0,21.285247152663473,0.9638682923663708
4.142857142857142,0.4642857142857143,22.497903971371898,0.5996485110264089,15.0,21.338514232405068,0.8982283055448492
4.857142857142858,0.4642857142857143,22.280408280176477,0.5958462815155317,17.0,21.374357086540442,0.844980809869857
5.571428571428571,0.4642857142857143,22.045461100356864,0.5889628033063518,18.0,21.395278019079207,0.8011363910806486
6.285714285714286,0.4642857142857143,21.792218512895396,0.579951993128642,20.0,21.40227255016924,0.7641385245208112
7.0,0.4642857142857143,21.53466792127145,0.5692022582963587,22.0,21.399505833612533,0.732585620766145
