policy,avg_forum_novelty,avg_answer_rate,avg_novelty_factor,S_T,minC,overload_time,avg_choice,avg_answered,W,U
uniform,0.5,0.6,0.825,19.602370135775335,0.47618298553141253,40.0,0.24635678571386882,0.14781407142832131,23.25360228111703,0.28509779477941355
targeted_match_rate,0.8015999162884635,0.6,1.2111199414019242,31.59167717019239,0.541342151007165,25.0,0.3472989831077196,0.20837938986463173,24.627751331169947,0.5795584247667488
